년도,월,강수량,강수일
2017,1,14.9,8
2017,2,11.1,5
2017,3,7.9,5
2017,4,61.6,9
2017,5,16.1,5
2017,6,66.6,7
2017,7,621,20
2017,8,297,14
2017,9,35,5
2017,10,26.5,6
2017,11,40.7,8
2017,12,34.8,10
2018,1,8.5,7
2018,2,29.6,4
2018,3,49.5,9
2018,4,130.3,11
2018,5,222,11
2018,6,171.5,10
2018,7,185.6,9
2018,8,202.6,15
2018,9,68.5,11
2018,10,120.5,6
2018,11,79.1,6
2018,12,16.4,5
2019,1,0,0
2019,2,23.8,6
2019,3,26.8,5
2019,4,47.3,9
2019,5,37.8,3
2019,6,74,10
2019,7,194.4,16
2019,8,190.5,13
2019,9,139.8,10
2019,10,55.5,6
2019,11,78.8,7
2019,12,22.6,13
2020,1,60.5,6
2020,2,53.1,10
2020,3,16.3,5
2020,4,16.9,3
2020,5,112.4,12
2020,6,139.6,11
2020,7,270.4,16
2020,8,675.7,19
2020,9,181.5,11
2020,10,0,0
2020,11,120.1,9
2020,12,4.6,4
2021,1,18.9,9
2021,2,7.1,5
2021,3,110.9,9
2021,4,124.1,9
2021,5,183.1,17
2021,6,104.6,13
2021,7,168.3,8
2021,8,211.2,13
2021,9,131,8
2021,10,57,11
2021,11,62.4,6
2021,12,7.9,9
2022,1,5.5,7
2022,2,4.7,5
2022,3,102.6,9
2022,4,20.4,7
2022,5,7.5,4
2022,6,393.8,12
2022,7,252.3,14
2022,8,564.8,19
2022,9,201.5,8
2022,10,124.1,5
2022,11,84.5,5
2022,12,1.1,1
