기준연월,관광수입
201905,1850.7
201906,1519.3
201907,1695.7
201908,1767.6
201909,1624.7
201910,1745.3
201911,1733.6
201912,1835.8
202001,1642.8
202002,1442.0
202003,816.9
202004,536.3
202005,583.5
202006,594.8
202007,732.6
202008,783.3
202009,788.8
202010,752.2
202011,762.8
202012,745.1
202101,847.1
202102,683.8
202103,833.4
202104,886.8
202105,919.4
202106,776.6
202107,793.7
202108,902.6
202109,935.2
202110,875.8
202111,992.1
202112,835.6
202201,748.1
202202,785.9
202203,974.3
202204,864.3
202205,956.4
202206,978.8
202207,840.8
202208,1093.4
202209,1161.2
202210,1298.2
